TypeData.CompTypeID,TypeData.GenCompType,long_description,failure_locations
CBL_PWR_PLT_XLPE_Duct_1,"Cable - Plant - 5-15kV - XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice","The equipment Cable - Plant - 5-15kV - XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice, is categorized as Electrical Asset and has the following boundary: The boundary of Cable - Plant - 5-15kV - XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice includes:.  - Cable (wet or dry locations), typically a 500 foot length. - Terminations (dry location only)  Excluded from this treatment are the following: splices, lightning arrestors, transformers, ducts, man and hand holes, pull boxes, etc.  Note: The Component Name of all plant cables and splices in this database shows the importance of moisture, which has already been built-in as follows.  'Wet/dry cable' (and splices, if present) identifies cables that are mostly dry but likely to be wet some part of the time.  'Wet cable' means the presence of water definitely predominates.  'Outdoor termination' means the presence of water has been built-in to some extent. 'Dry termination' means the termination is dry except for possibly rare and random exposure to water.  Thus the general rule for plant cables, terminations, and splices, is that turning on the moisture stressor has no additional effect.  The sole exception where the moisture stressor does act, is for the termination subcomponent, but only when the name includes 'outdoor/dry termination'.","The failure locations for Cable - Plant - 5-15kV - XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, dry termination, no splice are: {'Cable - insulation', 'Cable - conductor', 'Cable - outer jacket', 'Terminations', 'Cable - insulation shield (extruded or taped polymer)', 'Cable - taped metal shield', 'Cable - insulation shield (cotton tape)'}"
CBL_PWR_PLT_XLPE_Duct_2,"Cable - Plant - 5-15kV - XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice","The equipment Cable - Plant - 5-15kV - XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice, is categorized as Electrical Asset and has the following boundary: The boundary of Cable - Plant - 5-15kV - XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice includes:  - Cable (wet or dry location), typically a 500 foot length. - Terminations (outdoor location only)  Excluded from this treatment are the following: splices, lightning arrestors, transformers, ducts, man and hand holes, pull boxes, etc.  Note: The Component Name of all plant cables and splices in this database shows the importance of moisture, which has already been built-in as follows.  'Wet/dry cable' (and splices, if present) identifies cables that are mostly dry but likely to be wet some part of the time.  'Wet cable' means the presence of water definitely predominates.  'Outdoor termination' means the presence of water has been built-in to some extent. 'Dry termination' means the termination is dry except for possibly rare and random exposure to water.  Thus the general rule for plant cables, terminations, and splices, is that turning on the moisture stressor has no additional effect.  The sole exception where the moisture stressor does act, is for the termination subcomponent, but only when the name includes 'outdoor/dry termination'.","The failure locations for Cable - Plant - 5-15kV - XLPE - Jacketed-Shielded - Duct/Conduit/Tray - wet/dry cable, outdoor termination, no splice are: {'Cable - insulation', 'Cable - conductor', 'Cable - outer jacket', 'Cable - insulation shield (extruded or taped polymer)', 'Terminations - outdoor', 'Cable - taped metal shield', 'Cable - insulation shield (cotton tape)'}"
CBL_PWR_PLT_XLPE_UG_1,"Cable - Plant - 5-35kV - XLPE - Jacketed-Shielded - Underground - wet cable, outdoor/dry termination, wet splice","The equipment Cable - Plant - 5-35kV - XLPE - Jacketed-Shielded - Underground - wet cable, outdoor/dry termination, wet splice, is categorized as Electrical Asset and has the following boundary: The boundary of Cable - Plant - 5-35kV - XLPE - Jacketed-Shielded - Underground - wet cable, outdoor/dry termination, wet splice includes:  - Cable (wet location only), typically a 500 foot length - Terminations (outdoor or dry locations) - Splices (wet location only)  Excluded from this treatment are the following: Lightning arrestors, transformers, ducts, man and hand holes, pull boxes, etc.  Note: The Component Name of all plant cables and splices in this database shows the importance of moisture, which has already been built-in as follows.  'Wet/dry cable' (and splices, if present) identifies cables that are mostly dry but likely to be wet some part of the time.  'Wet cable' means the presence of water definitely predominates.  'Outdoor termination' means the presence of water has been built-in to some extent. 'Dry termination' means the termination is dry except for possibly rare and random exposure to water.  Thus the general rule for plant cables, terminations, and splices, is that turning on the moisture stressor has no additional effect.  The sole exception where the moisture stressor does act, is for the termination subcomponent, but only when the name includes 'outdoor/dry termination'.","The failure locations for Cable - Plant - 5-35kV - XLPE - Jacketed-Shielded - Underground - wet cable, outdoor/dry termination, wet splice are: {'Cable - insulation', 'Splices', 'Cable - conductor', 'Cable - outer jacket', 'Cable - insulation shield (extruded or taped polymer)', 'Terminations - outdoor or dry', 'Cable - taped metal shield', 'Cable - insulation shield (cotton tape)'}"
ChillerandCOMP_1,HVAC - Chiller & Centrifugal Compressor,"The equipment HVAC - Chiller & Centrifugal Compressor, is categorized as Facility Asset and has the following boundary: The boundary of HVAC - Chillers and Compressors for the purpose of this database is defined to include the following:  ,Inlet and outlet condenser cooling water valves ,Inlet and outlet chilled water valves ,Condenser ,Evaporator ,Compressor ,Refrigerant metering device or expansion valve ,Relief device ,Controls and wiring ,Refrigerant load control system ,Exclude chilled and condenser water pumps, motors, and isolation valves","The failure locations for HVAC - Chiller & Centrifugal Compressor are: {'Compressor, Shaft seal', 'Purge Unit', 'Heat Exchangers: Evaporator', 'Electronic/Electrical Devices: Transmitters, Temperature Control Valves, Programmable logic controls, Level/Flow switches, RTDS, I/P Transducers', 'Compressor, Gaskets', 'Compressor System Failure', 'Compressor, Lubrication Failure', 'Fasteners/ Hardware', 'Pressure Relief Valve (Safety Valve)', 'Oil Return System: Eductor, Sump Level switch, SOV', 'Refrigerant Metering Device', 'Compressor, Impeller', 'Solenoid Valves', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection', 'Gear Box', 'Coupling', 'Rupture disk', 'Heat Exchangers: Condenser', 'Capacity Control (PreRotation Vanes)', 'Bearings', 'Refrigerant Operated Control Valve'}"
ChillerandCOMP_2,HVAC - Chiller & Reciprocating Compressor,"The equipment HVAC - Chiller & Reciprocating Compressor, is categorized as Facility Asset and has the following boundary: The boundary of HVAC - Chillers and Compressors for the purpose of this database is defined to include the following:  ,Inlet and outlet condenser cooling water valves ,Inlet and outlet chilled water valves ,Condenser ,Evaporator ,Compressor ,Refrigerant metering device or expansion valve ,Relief device ,Controls and wiring ,Refrigerant load control system ,Exclude chilled and condenser water pumps, motors, and isolation valves","The failure locations for HVAC - Chiller & Reciprocating Compressor are: {'Compressor, Shaft seal', 'Compressor, Relief Valve', 'Purge Unit', 'Compressor, Unloader Valve', 'Heat Exchangers: Evaporator', 'Electronic/Electrical Devices: Transmitters, Temperature Control Valves, Programmable logic controls, Level/Flow switches, RTDS, I/P Transducers', 'Compressor, Gaskets', 'Compressor, Lubrication Failure', 'Pulleys and Belts', 'Pressure Relief Valve (Safety Valve)', 'Compressor, Cylinders', 'Refrigerant Metering Device', 'Solenoid Valves', 'Compressor, Frame and Mounting', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection', 'Fasteners/Hardware', 'Rupture disk', 'Compressor, Shaft', 'Heat Exchangers: Condenser', 'Bearings', 'Refrigerant Operated Control Valve'}"
ChillerandCOMP_3,HVAC - Chiller & Rotary Screw Compressor,"The equipment HVAC - Chiller & Rotary Screw Compressor, is categorized as Facility Asset and has the following boundary: The boundary of HVAC - Chillers and Compressors for the purpose of this database is defined to include the following:  ,Inlet and outlet condenser cooling water valves ,Inlet and outlet chilled water valves ,Condenser ,Evaporator ,Compressor ,Refrigerant metering device or expansion valve ,Relief device ,Controls and wiring ,Refrigerant load control system ,Exclude chilled and condenser water pumps, motors, and isolation valves","The failure locations for HVAC - Chiller & Rotary Screw Compressor are: {'Compressor, Shaft seal', 'Purge Unit', 'Heat Exchangers: Evaporator', 'Electronic/Electrical Devices: Transmitters, Temperature Control Valves, Programmable logic controls, Level/Flow switches, RTDS, I/P Transducers', 'Compressor, Gaskets', 'Fasteners/ Hardware', 'Pressure Relief Valve (Safety Valve)', 'Compressor, Rotors', 'Refrigerant Metering Device', 'Compressor, Capacity Slide Control Valve', 'Rupture Disk', 'Solenoid Valves', 'Chiller Instrumentation and Control Devices: Capacity, Oil Pressure, Oil Level, Refrigerant High & Low Pressure, Freeze Protection', 'Coupling', 'Compressor, Bull Gear', 'Compressor, Lubrication', 'Heat Exchangers: Condenser', 'Separator Oil Heater', 'Bearings', 'Refrigerant Operated Control Valve', 'Compressor, Oil Pump'}"
CIP_Skid_V0,CIP - Clean In-Place Skid,"The equipment CIP - Clean In-Place Skid, is categorized as Facility Asset and has the following boundary: A CIP - Clean In-Place Skid (single supply and tank) for cleaning pharmaceutical equipment is comprised of: - Tank with Spray Balls - Tank Rupture Disk (Pressure Safety Element) - Insulation  - Filters (Membrane type) with Vent - Filter Jacket Heater - Heat Exchangers (Steam and Water Jacketed) - Centrifugal Pump and Motor - Valve - Ball Isolation (Manual) - Valve - Ball 3-Way (Air Operated) - Valve - Globe (Spring Loaded Operator) - Valve -  Butterfly (Manual) - Valve - Check (Spring) - Valve - Pressure Control Valve (Diaphragm Manual) - Valve - Temperature & Flow Control Valves (Diaphragm Air Operated) - Valve - Gate (Manual) - Valve - Relief - Valve - Diaphragm (Air Operated) - Valve - Manual - Vent, Drain, and Isolation (Diaphragm type) - Piping, Hoses, Connectors,  - Strainers - Tri-Clamp Isolation Devices - Steam Trap - Instrumentation - Conductivity - Instrumentation - Flow Indicator and Transmitter - Instrumentation - Level Indicator and Transmitter - Instrumentation - Pressure Indicator and Transmitter - Instrumentation - Temperature Indicator and Transmitter - Instrumentation - Gauges or Indicators (Temperature, Pressure, Flow) - Control Panel & Enclosure (Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Control Module, Lights, Alarms, Wiring, etc.) - PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen) - Switches  - E-Stop Push Button - VFD (Variable Frequency Drive)  Excluded from this component treatment are: - Supply: power, instrument  air, process air, cooling water, steam, and chemicals - External drains and connections - Electrical Panel and Breakers (External to skid)","The failure locations for CIP - Clean In-Place Skid are: {'Strainer', 'Flex Hoses, Flex Lines, and Fittings', 'Tri-Clamp Isolation Devices', 'Valve - Manual - Vent, Drain, and Isolation (Diaphragm type)', 'Instrumentation - Indicator and Transmitter (Conductivity, Flow, Level, Pressure, Temperature)', 'Instrumentation - Gauges or Indicators (Temperature, Pressure, Flow)', 'Tank', 'Valve - Manual - Vent, Drain, and Isolation (Gate, Globe, Plug)', 'Valve - Check (Swing Type)', 'Valve - Pressure Control Valve (Diaphragm Manual)', 'Pump Motor', 'Pump', 'Valve - Diaphragm (Air Operated)', 'E-Stops and Interlocks', 'Pipe and Fittings', 'Ground or Earth Connection', 'Filter - Process Air', 'VDF (Pump Motor Variable Frequency Drive)', 'Tank Rupture Disk', 'Valve - Ball (Air Operated)', 'Pipe and Instrument Penetrations, and Thermowells', 'Control Panel and Enclosure (Disconnect, Main Circuit Breaker, Relays, Terminations, Power Supply, Control Module, Lights, Switches, Alarms, Wiring, etc.)', 'PLC and HMI - (Programmable Logic Controller and Human Machine Interface Touch Screen)', 'Pipe Insulation', 'Valve - Temperature & Flow Control Valves (Air Operated)', 'Heat Exchanger', 'Filter - CIP Process Fluid', 'Valve - Relief', 'Steam Trap (Balanced Pressure Thermostatic Type)', 'Valve - Ball (Manual)'}"
Cleaner_ESP_V0,Electrostatic Precipitator - High Voltage,"The equipment Electrostatic Precipitator - High Voltage, is categorized as Fixed Asset and has the following boundary: The boundary of a commercial or large Electrostatic Precipitator high voltage type air cleaner consists of the following: - Electrostatic Precipitator towers (2) - Electronic Controller (PLC) - High voltage power source - Sensors","The failure locations for Electrostatic Precipitator - High Voltage are: {'Fan with Motor, if present', 'High Voltage Supply', 'Electrical Devices (micro switches, aux. switches, secondary disconnects, local control handle, fuse blocks, aux. relays, motor starter)', 'Tower', 'Electronic Controller', 'ESP Element', 'Covers', 'Wiring and Terminations', 'Transformer', 'Inlet Filter Media, if present'}"
CNC_ContainerStacker_1,CNC Robotic Containerization System,"The equipment CNC Robotic Containerization System, is categorized as Material Handling Asset and has the following boundary: The boundary of a CNC Robotic Containerization System machine is described as:   The Robotic Containerization System  sorts a continuous flow of containers, boxes, etc. and places them using two computer driven gantry robots on pre-designated pallets or in bins for shipment.  Each robot has two work zones, there are a total of four for the two robots. Each work zone may have multiple docking stations configurable to hold two bins, one pallet, or a combination of a container and a pallet.  System consoles controls and monitors operations. Its control panel emergency stop pushbutton and switches control system start and stop.  The keyboard interfaces between the operator and the computer to do the following: - Cycle start system - Display system status and alarm conditions - Allow system components to be operated manually - Purge system and send robot arm to the home position - Display and print reports - Allow sort schemes to be created, edited, enabled or disabled - Assign containers and boxes to a sort position -Display  reject status at reject area of conveyor system  There is an incoming conveyor line with barcode scanners.  The barcode scanners read the destination and routing tag on the top of the container.  Containers with unreadable barcode labels are rejected onto the gravity conveyor and exit the system.  The robot uses a gripper to grip containers for stacking. The gripper has four air operated gripper fingers that rotate in and out to grab and release the containers.","The failure locations for CNC Robotic Containerization System are: {'Power wiring with connectors', 'External Corporate Information System - I/O bridge assembly', 'Container storage stand', 'Pneumatic Panel (lockout valves, regulator, filter)', 'Scanners (interface and trigger photo eyes)', 'Robot 1 & 2 Main Conveyor  (powered roller, driver card, idler rollers, O-ring drive belts, photo eyes/reflectors, 24 VDC power supplies, tray/tub lift, stop plates, right angle cross transfer belts, valve block, Main Control Power 1/2)', 'E-Stop switches and pull cord', 'Safety frame (fence, 4 gate entry boxes)', 'Warning/status light and horn', 'Remote Conveyor Control Station', 'Docking Stations - Container present photo sensors', 'Power Distribution Panel (transformer, 24 VDC power supply, relays, fuses, I/O module, main disconnect and etc)', 'System Console Cabinet (computer, UPS, hard drive module, monitor/keyboard, printer, External I/O interface cards, fans, filter)', 'Robot Interface box', 'Safety interlocks & Lexan door w/interlock', 'Gripper Assembly  (fingers, regulators, sensors, air valves and solenoids, containment plate, pressure switch, shelf lowering mechanical)', 'Serial measurement box (batteries, brake release)', 'External Corporate Information System - I/O 24 VDC Power Supplies', 'Safety barrier light curtain', 'Control wiring with connectors', 'Gantry robot 1 & 2 (axis 1-4 motor/gearbox, belts, counterbalance air tank & counterbalance cylinder, hard stops, lubricators, z axis arm)'}"
CNC_Cutter_5Axis_1,CNC Machine - Multi-Axis Cutter,"The equipment CNC Machine - Multi-Axis Cutter, is categorized as Miscellaneous Asset and has the following boundary: The boundary of a CNC Machine - Multi-Axis Cutting machine with a flat vacuum holding bed is:  - This is a 5-axis machine consisting of the X, Y, Z, A, and C Axes with their drives and positioning devices:   . Spindle or cutter   . Machining bed or surface   . Tool (Drum) changer   . Drives, gearboxes, and electronic control and feedback devices   . Support structure, e.g. ways, gantry,    . Power tracks for supply of pneumatic, vacuum, coolant, lubrication, and electrical - Operator station and controls - All electric wiring and cabling directly associated with the machine - Vacuum manifold at the machine, excluding the vacuum supply itself - Flat surface vacuum holding bed for the machining of flat materials - CNC computer - Cabinets","The failure locations for CNC Machine - Multi-Axis Cutter are: {'Axis-X Speed Control Resolver', 'Tool Drum Tool tray door open & close solenoid valve', 'Axis-C Speed Control Resolver', 'Axis-X Gear rack section', 'Tool Drum Rotary Selector Switch tray CW/CCW', 'Axis-A Home Limit Switch', 'Wiring & connectors', 'Spindle Air blast solenoid', 'Axis-Z Speed Control Resolver', 'Axis-Z Power track', 'Axis-Z Home Limit Switch', 'Axis-Y Ways & covers', 'Tool Drum Shot pin advance limit switch', 'Axis-A Positioning resolver', 'Axis-Y Home Limit Switch', 'Tool Drum Selector switch door', 'Axis-C Gear set', 'Spindle vibration sensor', 'Axis-C Over travel limit switch', 'Safety E-Stops and Interlocks', 'Axis-X Positioning resolver', 'Tool Drum Once per tool limit switch', 'Axis-Z Over travel limit switch', 'Vacuum Manifold Pneumatic operated main supply valve', 'Axis-Z Lead screw & ball nut', 'Tool Drum Tool door open proximity switch', 'Spindle motor', 'Spindle run light', 'Vacuum Manifold Bed sections', 'Axis-A Speed Control resolver', 'Vacuum Manifold Solenoid operated pilot chuck valve', 'Spindle Motor Lube Oil Line', 'Axis-A Motor', 'Vacuum Manifold Solenoid operated pilot supply valve', 'Tool Drum Pocket collapse limit switch', 'Gantry uprights', 'Axis-C Motor', 'Vacuum Manifold Pressure switches', 'Operator Control Station', 'Axis-Y Speed Control Resolver', 'Spindle Motor Drawbar', 'Tool Drum Door closed proximity switch', 'Axis-Y Piping & Tubing', 'Axis-Y Lead screw & ball nut', 'Axis-X Gearbox & Couplings', 'CNC Software', 'Axis-C Home Limit Switch', 'Axis-A Over travel limit switch', 'Axis-Y Gear set', 'Axis-X Ways & covers', 'Axis-Z Counter balance relief valve', 'Axis-X Motor', 'Tool Drum Hydraulic motor', 'Axis-C Positioning resolver', 'Axis-X Roller pack', 'Axis-Z Tachometer', 'Spindle Drawbar clamp proximity switch', 'Spindle Drawbar proximity amplifier (clamp and unclamp)', 'Axis-Y Over travel limit switch', 'Tool Drum Tool tray CW/CCW solenoid valve', 'Spindle over temperature sensor', 'Axis-Z Counter balance', 'Axis-X Home Limit Switch', 'Vacuum Manifold  and manifold piping', 'Bed Jacking bolts', 'Tool Drum Tool changer shot pin solenoid', 'Spindle Drawbar unclamp proximity switch', 'Head and Column Dust collection hose', 'Spindle Unclamp push button', 'Axis-Y Roller pack', 'Tool Drum Assembly', 'CNC Computer', 'Spindle Drawbar Intensifier', 'Spindle Dust collector solenoid', 'CNC Computer Cabinet', 'Axis-Z Roller pack', 'Axis-Y Power track', 'Vacuum Manifold Tubing & connectors', 'Tool Drum Lines & Connectors', 'Spindle Motor Coolant Line', 'Axis-X Power track', 'Spindle Tool deflection sensor', 'Axis-A Gear set', 'Axis-Z Tubing & connectors', 'Axis-X Over travel limit switch', 'Axis-Z Motor, coupling, & brake', 'Head and Column Tubing, Hoses & Quick Disconnect couplings', 'Tool Drum Door open/close hydraulic rotary actuator', 'Axis-Y Tachometer', 'Vacuum Manifold Pneumatic operated chuck valve', 'Axis-Z Positioning resolver', 'Axis-Z Ways & covers', 'Axis-Y Positioning resolver', 'Spindle Motor', 'Axis-Y Motor', 'Gantry bridge', 'Vacuum Manifold Vacuum Chuck', 'Tool Drum position limit switch', 'Axis-A Yoke', 'Axis-Z Gear set', 'Gantry spindle lube collection tank', 'Spindle lube air solenoid'}"
COMP_Air_1,Compressor - Centrifugal,"The equipment Compressor - Centrifugal, is categorized as Rotating Asset and has the following boundary: The boundary of a typical centrifugal compressor for the purpose of this database is defined to include the following:  All components on the compressor skid except the motor.  This means all components from the inlet air filter up to the discharge valve, inclusive.  Exclude the motor driver.","The failure locations for Compressor - Centrifugal are: {'Solenoid valve', 'Lube oil cooler', 'Impellers', 'Controller cabinet vent filter', 'Prelube pump - motor driven', 'Inlet Throttle/ Blow off or Bypass control valve (Actuator Diaphragm type)', 'Discharge check valve', 'Control relays', 'Fasteners/ Hardware', 'Main lube oil pump - shaft driven', 'Lube oil filter', 'Pinion Shaft seals (air and oil)', 'Inlet Throttle Valve (Guide Vane type)', 'Inlet nozzle', 'Oil temperature control valve (AMOT type)', 'Demister', 'Inter & After Coolers', 'Bull/Pinion gears', 'Drain Traps', 'Coupling', 'Bull Gear Shaft seal', 'Oil pressure control valve', 'Pressure and temperature transducers, vibration probes', 'Valve position transducer', 'Gaskets', 'Diffusers', 'Lube oil suction strainer', 'Oil line orifices', 'Inlet Air Filters, Element Type', 'Lube oil immersion heaters, if present', 'Controller cabinet vent fan', 'Electronic controller', 'Bearings'}"
COMP_Air_2,"Compressor & Pump - Rotary, Liquid Ring","The equipment Compressor & Pump - Rotary, Liquid Ring, is categorized as Rotating Asset and has the following boundary: The boundary of liquid-ring compressors and pumps for the purpose of this database is defined to include the following:  ,Pump or compressor ,Cooler ,Moisture separator tank and recirculation pump ,Speed reducer ,Control components except for relays ,Miscellaneous components, e.g. filters, traps, strainers, orifices, and check valves  Coupling, Relays, and Safety Relief Valves are excluded from the boundary.  Although other electrical and electronic components are treated to some degree in the compressor degradation table, further details and information on appropriate PM tasks for these components may be found in the database under the specific component type name, e.g. I&C - Pressure Switches.  Because there exist several types of such I&C components they have not been assigned a ""Refer - to"" type of PM Task reference in the compressor template.","The failure locations for Compressor & Pump - Rotary, Liquid Ring are: {'Strainer', 'Electronic/ Electrical Devices (Transmitters, Temperature control valves, Level / Flow / Pressure switches, Thermocouples', 'Check Valves', 'Traps', 'Air Filters, Element Type', 'Pump Internal Casing, including inlet and outlet flanges', 'Mechanical shaft seal', 'Moisture Separator Tank', 'Rotor, Cone, and Lobe', 'Speed Reducer', 'Seal Water Recirculation Pump & Motor', 'Lubrication', 'Dole Flow Control Valve, if present', 'Orifice', 'Fasteners / Hardware', 'Gaskets', 'Seal Water Heat Exchanger', 'Solenoids', 'Pressure Control Valve', 'Packing shaft seal', 'Float Valve', 'Bearings or Bushings', 'Bearing housing seals, if present'}"
COMP_Air_3,Compressor - Reciprocating,"The equipment Compressor - Reciprocating, is categorized as Rotating Asset and has the following boundary: The boundary of a reciprocating air compressor for the purpose of this database is defined to include the following: ,Outlet flange of the after cooler ,Inlet air filter ,Compressor mounting and base ,Pulley including belts, or coupling ,Cooling water to the inlet cooling flange for after cooler ,Cooling water to the outlet cooling flange for after cooler   Air dryers are not included.  I&C components, Solenoid Valves, Relays, and Safety Relief Valves are also excluded.","The failure locations for Compressor - Reciprocating are: {'Inter and After Cooler, Tubes', 'Shaft seal', 'Traps', 'Inlet and outlet valves and check valves', 'Tubing and Fittings', 'Shaft', 'LP and HP Cylinders', 'Pulleys and Belts', 'Inter and After Cooler, Tube sheets and baffles', 'Gaskets, O-Rings, and Packing', 'Scraper rings and packing', 'Crosshead and Connecting Rods', 'Total Closure Valve and Relief Unloader Valve', 'Inlet Air Filters, Oil Bath Type', 'Piston rings and liner', 'Lubrication', 'Relays', 'Frame and Mounting', 'Inlet Air Filters, Element Type', 'Bearings', 'Lubricators', 'Fasteners and Hardware'}"
COMP_Air_4,Compressor - Rotary Screw,"The equipment Compressor - Rotary Screw, is categorized as Rotating Asset and has the following boundary: The boundary of a rotary screw air compressor for the purpose of this database is defined to include the following: ,Outlet flange of the after cooler ,Inlet air filter ,Compressor mounting and base ,Coupling ,Cooling water to the inlet cooling flange for after cooler ,Cooling water to the outlet cooling flange for after cooler   Air dryers are not included.  I&C components, Solenoid Valves, Relays, and Safety Relief Valves are also excluded.","The failure locations for Compressor - Rotary Screw are: {'Oil filter', 'Shaft seal', 'Traps', 'Inter & After Coolers, Tubes', 'Sight glass', 'Fasteners/ Hardware', 'Oil pump', 'Bull Gear', 'Inlet Throttle Valve', 'Oil lines', 'Gaskets, O-rings & Packing', 'LP & HP Elements', 'Coupling', 'Lubrication', 'Inter & After Coolers, Tube sheets & baffles', 'Oil suction screens', 'Inlet Air Filters, Element Type', 'Balance Piston', 'Bearings', 'Unloader'}"
CoolingTower_MechDraft_Counterflow_V1,Cooling Tower - Mechanical Draft - Counter Flow,"The equipment Cooling Tower - Mechanical Draft - Counter Flow, is categorized as Fixed Asset and has the following boundary: The boundary of a Cooling Tower - Mechanical Draft - Cross Flow type in continuous use, and with an average of 36 cells, is defined to include:  - Hot water distribution - Cold water basin and distribution - Tower, internal and external structure, and casing - Fill - Drift eliminators - Louvers - Mechanical equipment, i.e., motors, couplings, gear box, fan assemblies - Vibration instrumentation - Gearbox and motor anti-rotation devices (if present)  Excluded are: - Switchgear - Controls - Redwood structural members - Fire protection system","The failure locations for Cooling Tower - Mechanical Draft - Counter Flow are: {'Gearbox oil line (external), if present', 'Motor base', 'Tower anchorage', 'Gearbox base or mounting', 'Motor bearing grease seals', 'Motor leads and electrical connections', 'Motor stator laminations', 'Motor fan - external', 'Motor lubrication - grease', 'Motor rotor bars and shorting rings (cast type)', 'Motor shaft', 'Gearbox gears', 'Motor stator windings', 'Drift eliminators - blade type (wood type)', 'Stairs and walkways - FRP type', 'Coupling - disc pack or diaphragm, if present', 'Gearbox anti-rotation device, if present', 'Motor space heaters', 'Coupling - pin and bushing, if present', 'Motor endbells or bearing housings', 'Splash deflectors', 'Structural members - FPR (deck members, beams, columns, joints), if present', 'Vibration sensors and instrumentation', 'Motor bearings - rolling element', 'Vibration trip switch', 'Gearbox bolting', 'Motor bearing lubrication delivery & drain tubes', 'Gearbox bearings - rolling element (radial and thrust)', 'Casing', 'Stairs and walkways - wood type', 'Stairs and walkways - hardware', 'Hot water distribution', 'Gearbox instrumentation (oil temperature, oil level)', 'Fan assembly', 'Gearbox oil', 'Motor lubrication - grease - open bearing', 'Shroud', 'Motor rotor fans and hardware', 'Gearbox gaskets', 'Drift eliminators - blade type (all types)', 'Gearbox oil breather', 'Fill', 'Gearbox oil line (suction only), if present', 'Cold water basins', 'Stairs and walkways - concrete type', 'Motor lubrication - grease - shielded bearing', 'Structural members - wood (deck members, beams, columns, joints), if present', 'Motor gaskets', 'Motor stator winding - blocking, bracing, and wedges', 'Drift eliminators - cellular type', 'Gearbox pressure relief valve, if present', 'Structural hardware (e.g. fasteners, shear connectors, diagonal straps)', 'Motor frame', 'Gearbox fan - external', 'Gearbox shaft oil seals', 'Motor anti-rotation device, if present', 'Drift eliminators - blade type (PVC type)', 'Drive shaft - graphite composite', 'Structural members - concrete (deck members, beams, columns, joints), if present', 'Gearbox sump oil heater, if present', 'Structural members - concrete (beams only), if present', 'Cold water basins and walls'}"
