TypeData.CompTypeID,TypeData.GenCompType,failure_locations
Gear_1_V0,Bull Gear,['Bull Gear']
GearandChain_1_V0,Gear and Chain Drive,"['Lubricant (oil or grease)', 'Chain', 'Gear']"
Gearbox_1_V2,Gearbox - Standard,"['Gears', 'Oil  Breather', 'Oil seals', 'Bolting', 'Casing or Housing', 'Oil line (external), if present', 'Pressure relief valve, if present', 'Sump oil heater, if present', 'Gaskets', 'Oil line (suction only), if present', 'Oil', 'Bearings - Rolling Element']"
Gearbox_2_V3,Gearbox with Oil Cooler,"['Gears', 'Oil  Breather', 'Oil seals', 'Bolting', 'Oil filter', 'Casing or Housing', 'Oil pump', 'Oil Cooler', 'Oil line (external), if present', 'Pressure relief valve, if present', 'Sump oil heater, if present', 'Gaskets', 'Oil line (suction only), if present', 'Oil', 'Bearings - Rolling Element']"
Gearbox_3_V0,Gearbox - Worm Reducer,"['Oil  Breather', 'Bolting', 'Wheel Shaft', 'Sight Glass', 'Worm Shaft', 'Fan', 'Casing', 'Gaskets', 'Worm Wheel', 'Dip Stick Tube, if present', 'Bearings - Rolling Element (radial and thrust)', 'Shaft oil seals', 'Oil']"
Gearbox_Small_REB_V0,Gearbox - Small - Rolling Element Bearings,"['Gears', 'Oil  Breather', 'Oil seals', 'Casing or Housing', 'Gaskets', 'Oil', 'Bearings - Rolling Element']"
Gearbox_Small_SB_V0,Gearbox - Small - Sleeve Bearings,"['Gears', 'Oil  Breather', 'Oil seals', 'Bolting', 'Bearings - Bronze or Brass Oil Impregnated', 'Casing or Housing', 'Gaskets', 'Oil']"
Gearbox_SP_WT_V0,Gearbox Single Planetary - Wind Turbine,"['Intermediate Speed - Shaft', 'Wiring and Connections (Non Instrumentation)', 'Casing or Housing', 'Brake - Rotor Lock', 'Drain Valve', 'Sight Glass', 'High Speed Stage - IMS Gear and HSS Pinion', 'Oil Cooler (Air Cooled)', 'Intermediate Speed Shaft - Bearings - Rolling Element', 'Oil Breather', 'Planet Gear - Shaft or Pin', 'Mounting Trunnions (Torque Arm)', 'Instrumentation - Controls', 'Hoses, Lines, and Fittings', 'High Speed - Shaft', 'Bolting', 'Oil Seals', 'Low Speed Shaft - Bearings - Rolling Element', 'Low Speed - Shaft', 'Intermediate Stage - LSS Gear and IMS Pinion', 'Planetary Gears - Ring, Planet Gears, Sun Pinion', 'Instrumentation - Monitoring', 'Oil Heater', 'Oil Filter', 'Oil Spray Nozzles', 'Gaskets', 'Oil Cooler (Air Cooled) Fan and Motor', 'Pitch Tube O-Rings', 'Planet Stage - Bearings - Rolling Element', 'Brake Hydraulic', 'High Speed Shaft - Bearings - Rolling Element', 'Pressure Relief Valve', 'Sun Pinion - Shaft', 'Oil Pump (Internal)', 'Oil Pump and Motor (External)', 'Oil']"
Gearbox_Worm_1_V0,Gearbox - Worm Gear Type with Oil Cooler,"['Casing or Housing', 'Oil Gear Pump', 'Bolting', 'Sump oil heater, if present', 'Worm Rim Gear', 'Dip Stick Tube, if present', 'Casing', 'Shaft oil seals', 'Worm Shaft', 'Pressure relief valve, if present', 'Gaskets', 'Oil line (suction only), if present', 'Rim Shaft', 'Bearings - Rolling Element (radial and thrust)', 'Oil  Breather', 'Oil line (external), if present', 'Oil Filter, if present', 'External Oil Piping', 'Oil Cooler (Internal or External)', 'Oil']"
Gearbox_Worm_2_V0,Gearbox - Worm Gear Type,"['Oil  Breather', 'Rim Shaft', 'Bolting', 'Casing or Housing', 'Worm Rim Gear', 'Worm Shaft', 'Oil Gear Pump', 'Oil Filter, if present', 'Sump oil heater, if present', 'Casing', 'External Oil Piping', 'Gaskets', 'Oil line (suction only), if present', 'Dip Stick Tube, if present', 'Bearings - Rolling Element (radial and thrust)', 'Shaft oil seals', 'Oil']"
Gearbox_Worm_Crane_V0,Gearbox_Worm - Crane Hoist,"['Oil  Breather', 'Rim Shaft', 'Bolting', 'Worm Shaft', 'Oil Gear Pump', 'Casing', 'External Oil Piping', 'Gaskets', 'Worm Rim Gear', 'Dip Stick Tube, if present', 'Bearings - Rolling Element (radial and thrust)', 'Shaft oil seals', 'Oil']"
GearRack_Pinion_Linear_V0,Gear Rack and Pinion - Linear,"['Coupling Sleeve Labyrinth Seal, if present', 'Coupling Grease', 'Shaft', 'Fasteners and Welds', 'Pinion Gear', 'Coupling Sleeve Gasket or O-ring, if present', 'Coupling Fasteners', 'Coupling Sleeve Mating Gasket', 'Coupling Gear Teeth', 'Gear Rack', 'Gear Rack Grease']"
GEN_1800_1,Main Generator - 1800RPM - Hydrogen Cooled,"['Generator Bearings (journal)', 'Rotor - Journal', 'Rotor - Fan', 'Turbine Supervisory Instrumentation -  Generator Monitoring (e.g. hydrogen purity, dew point)', 'End Shields', 'Stator - End Winding', 'Frame, Enclosure, and Mounting', 'Generator Bushings - high voltage, neutral', 'Stator - Core', 'Generator to LP Coupling', 'Turbine Supervisory Instrumentation -  Bearing & winding RTDs, Thermocouples, Vibration probes', 'Rotor - Retaining rings / Zone Rings - 18-5 type only', 'Generator Bearing hydrogen seals', 'Generator Bearing oil deflectors or labyrinth seals', 'Piping & Connections, e.g. Teflon tubes, seal oil and hydrogen connections, O-rings', 'Rotor - Winding', 'Rotor - Retaining rings / Zone Rings', 'Stator - Bars Inside Slots', 'Generator Shaft Current Insulation, e.g. on bearings, seals', 'Rotor - Surfaces, wedges, retaining rings', 'Hydrogen Coolers', 'Turbine Supervisory Instrumentation -  Flux probes', 'Rotor - Forging', 'Generator Iso-phase connections']"
GEN_1800_2,Main Generator - 1800RPM - Water Cooled,"['Generator Bearings (journal)', 'Rotor - Journal', 'Rotor - Fan', 'Turbine Supervisory Instrumentation -  Generator Monitoring (e.g. hydrogen purity, dew point)', 'Piping & Connections, e.g. Teflon tubes, seal oil and hydrogen connections, stator cooling water plumbing, O-rings', 'End Shields', 'Stator - End Winding', 'Frame, Enclosure, and Mounting', 'Generator Bushings - high voltage, neutral', 'Stator - Core', 'Generator to LP Coupling', 'Turbine Supervisory Instrumentation -  Bearing & winding RTDs, Thermocouples, Vibration probes', 'Rotor - Retaining rings / Zone Rings - 18-5 type only', 'Generator Bearing hydrogen seals', 'Generator Bearing oil deflectors or labyrinth seals', 'Rotor - Winding', 'Rotor - Retaining rings / Zone Rings', 'Stator - Bars Inside Slots', 'Generator Shaft Current Insulation, e.g. on bearings, seals', 'Rotor - Surfaces, wedges, retaining rings', 'Hydrogen Coolers', 'Turbine Supervisory Instrumentation -  Flux probes', 'Rotor - Forging', 'Generator Iso-phase connections']"
GEN_3600_SmoothRotor_AirCooled_V0,Main Generator - 3600RPM - Smooth Rotor - Air Cooled,"['Rotor - Journal', 'Turbine Supervisory Instrumentation -  Bearing & Winding RTDs, Thermocouples, Vibration probes', 'Rotor - Fan', 'Air Filters', 'Rotor - Retaining rings', 'Stator - End Winding and Connections', 'Piping & Connections', 'Generator Bushings - high voltage, neutral', 'Bearing Oil Deflectors (labyrinth type)', 'Bearing Insulation', 'Journal Bearings', 'Stator - Core', 'Rotor Collector Brushes', 'Rotor - Surfaces, wedges, and retaining rings', 'Turbine Supervisory Instrumentation - Generator Condition Monitor', 'Rotor Collector Rings', 'Generator Cables - high voltage, neutral', 'Rotor - Winding', 'Stator - Bars Inside Slots', 'Frame, End Shields, and Mounting', 'Couplings', 'Turbine Supervisory Instrumentation -  Flux probes', 'Rotor - Forging', 'Generator Iso-phase connections']"
GEN_3600_SmoothRotor_WaterAirCooled_V0,Main Generator - 3600RPM - Smooth Rotor - Water Air Cooled,"['Rotor - Journal', 'Turbine Supervisory Instrumentation -  Bearing & Winding RTDs, Thermocouples, Vibration probes', 'Rotor - Fan', 'Rotor - Retaining rings', 'Stator - End Winding and Connections', 'Piping & Connections', 'Generator Bushings - high voltage, neutral', 'Bearing Insulation', 'Bearing Oil Deflectors (labyrinth type)', 'Journal Bearings', 'Stator - Core', 'Air Coolers - Filters', 'Rotor Collector Brushes', 'Rotor - Surfaces, wedges, and retaining rings', 'Turbine Supervisory Instrumentation - Generator Condition Monitor', 'Rotor Collector Rings', 'Generator Cables - high voltage, neutral', 'Rotor - Winding', 'Stator - Bars Inside Slots', 'Frame, End Shields, and Mounting', 'Couplings', 'Air Coolers (water cooled)', 'Turbine Supervisory Instrumentation -  Flux probes', 'Rotor - Forging', 'Generator Iso-phase connections']"
Gen_Aux_MV_1A_V0,Generator - Auxiliary - Medium Voltage <15Kv - Rolling Element - Grease Lubed - Air Cooled,"['Bearings - Antifriction', 'Rotor Brush Rigging, if present', 'Brushless Exciter (shaft mounted) - Stator Windings', 'Rotor Leads', 'Brushless Exciter (shaft mounted) - Rotor Leads', 'Rotor Fans and Fan Hardware', 'Shaft', 'Brushless Exciter (shaft mounted) - Diodes and Fuses', 'Frame, Enclosure, and Mounting', 'Brushless Exciter (shaft mounted) - Diode Wheel Insulating Mounts', 'Brushless Exciter (shaft mounted) - Rotor Winding Band', 'Bearing Insulation', 'Brushless Exciter (shaft mounted) - Rotor Laminations', 'Lubrication Delivery Piping & Connections, if present', 'Rotor Bars and Shorting Rings', 'Space Heaters', 'Brushless Exciter (shaft mounted) - Rotor Windings', 'Rotor: Windings, pole pieces, and V-blocks (pole wedges)', 'Bearing Housings', 'Lubrication - Grease', 'Rotor Amortisseur Interpole Connector', 'Rotor Bars, Amortisseur Interpole Connector, and Shorting Rings', 'Brushless Exciter (shaft mounted) - Rotor: Windings', 'Stator Core Air Ducts', 'Rotor Collector Rings, if present', 'Probes, e.g. speed, temperature,  vibration and partial discharge, if present', 'Rotor Laminations', 'Lead Box Gaskets, if present', 'Brushless Exciter (shaft mounted) - Stator Laminations', 'Stator: Windings, Blocking, Bracing, Surge rings includes wedges', 'Baffles, if present', 'Filters, if present', 'Brushless Exciter (shaft mounted) - Stator Leads', 'Rotor Collector Brushes, if present', 'Rotor Fan Blades', 'Stator Winding Connections - brazed joints', 'Stator Leads and Electrical Connections', 'Machine Fits', 'Stator Laminations', 'Rotor Grounding Brushes, if present', 'Bearing Seals']"
Gen_Aux_MV_2_V0,Generator - Auxiliary - Medium Voltage <15Kv - Sleeve Bearing - Air Cooled,"['Rotor Brush Rigging, if present', 'Brushless Exciter (shaft mounted) - Stator Windings', 'Rotor Leads', 'Brushless Exciter (shaft mounted) - Rotor Leads', 'Lubrication - Oil', 'Rotor Fans and Fan Hardware', 'Shaft', 'Brushless Exciter (shaft mounted) - Diodes and Fuses', 'Frame, Enclosure, and Mounting', 'Brushless Exciter (shaft mounted) - Diode Wheel Insulating Mounts', 'Brushless Exciter (shaft mounted) - Rotor Winding Band', 'Bearing Insulation', 'Brushless Exciter (shaft mounted) - Rotor Laminations', 'Lubrication Delivery Piping & Connections, if present', 'Rotor Bars and Shorting Rings', 'Space Heaters', 'Brushless Exciter (shaft mounted) - Rotor Windings', 'Rotor: Windings, pole pieces, and V-blocks (pole wedges)', 'Bearing Housings', 'Rotor Amortisseur Interpole Connector', 'Rotor Bars, Amortisseur Interpole Connector, and Shorting Rings', 'Brushless Exciter (shaft mounted) - Rotor: Windings', 'Stator Core Air Ducts', 'Rotor Collector Rings, if present', 'Probes, e.g. speed, temperature,  vibration and partial discharge, if present', 'Rotor Laminations', 'Lead Box Gaskets, if present', 'Brushless Exciter (shaft mounted) - Stator Laminations', 'Stator: Windings, Blocking, Bracing, Surge rings includes wedges', 'Bearings Seals', 'Baffles, if present', 'Filters, if present', 'Brushless Exciter (shaft mounted) - Stator Leads', 'Rotor Collector Brushes, if present', 'Rotor Fan Blades', 'Stator Winding Connections - brazed joints', 'Stator Leads and Electrical Connections', 'Machine Fits', 'Bearings - Sleeve', 'Stator Laminations', 'Rotor Grounding Brushes, if present', 'Bearing Seals']"
GEN_Cool_1,Main Generator Stator Water Cooling System - GE,"['Pipe Flanges, insulated', 'SOV -Wiring, Insulation, or Connectors', 'Control Valves (Pressure, Temperature) - Packing', 'Dissolved oxygen probe, if present', 'Pressure Switch - Sensing line and tube fittings', 'Pump Impeller', 'Pump Connections & Piping', 'Stator Water Instrumentation (e.g. conductivity, dissolved O2, stator water leakage, also indicators for temperature, pressure, flow and level)', 'Control Valves (Pressure, Temperature) - Actuator', 'Motor Bearings - Antifriction', 'Control Valves (Pressure, Temperature) - Positioners', 'Manual valves', 'Control Valves (Pressure, Temperature) - Booster Connections', 'Check Valve - Seat Failure (Body or Disk)', 'Inlet Y Strainer', 'Control Valves (Pressure, Temperature) - Positioners - Orifices, nozzles, spools, relays', 'SOV -Plunger', 'Pipe and fittings', 'Demineralizer', 'Motor & Pump Coupling', 'Pump Oil', 'Control Valves (Pressure, Temperature) - Pneumatic Controller - Orifices, nozzles, relays, force balance, elastomers', 'Motor Stator Laminations', 'Control Valves (Pressure, Temperature) - Pneumatic Controller - Elastomers', 'Orifice', 'Pump Discharge and Suction Flanges', 'Control Valves (Pressure, Temperature) - Booster Elastomer', 'Control Valves (Pressure, Temperature) - Pneumatic Controller - Control knobs', 'HX - Tubes', 'SOV - Coil', 'Pump Bearing Seals - Lip and Labyrinth', 'Motor Bearing Seals', 'Control Valves (Pressure, Temperature) - Pneumatic Tubing', 'Control Valves (Pressure, Temperature) - Positioners - Instrument Indicating Gauges', 'Check Valve - Hinge pin', 'Control Valves (Pressure, Temperature) - Booster', 'Conductivity probe', 'Control Valves (Pressure, Temperature) - Positioners - Bushings, Cams, and Follower Arms', 'Check Valve - Body', 'Check Valve - Disk', 'Motor Shaft', 'SOV -Springs', 'Control Valves (Pressure, Temperature) - E-P/I-P Transducers', 'Motor Cast Rotor: Rotor bars and shorting rings', 'Motor Stator: Windings, Blocking, Bracing, Wedges', 'Control Valves (Pressure, Temperature) - Valve Stem', 'Pump Bearing Housing and Fittings', 'Pump Shaft', 'Control Valves (Pressure, Temperature) - Pneumatic Controller - Tubing, connectors, and porting', 'Control Valves (Pressure, Temperature) - Coupling: Direct', 'Control Valves (Pressure, Temperature) - Positioners - I/P Transducer, if present', 'Motor Frame, Enclosure, and Mounting', 'Control Valves (Pressure, Temperature) - Disk (moving part)', 'Pressure Switch - Sensing device', 'Check Valve - Disk Arm', 'Control Valves (Pressure, Temperature) - Check Valves - air line', 'Pump Breather Caps & Sight Glass Vents', 'Control Valves (Pressure, Temperature) - E-P/I-P Transducers - Orifices, nozzles, spools, relays', 'H2 Vent Totalizer', 'Control Valves (Pressure, Temperature) - Pneumatic Controller - Mechanical linkages', 'System Filter', 'Control Valves (Pressure, Temperature) - Valve Body Seat', 'SOV -Valve seat', 'Motor Leads', 'Control Valves (Pressure, Temperature) - External Air Filter', 'Control Valves (Pressure, Temperature) - Pneumatic Controller', 'Pump Bearings - Antifriction', 'Motor Electrical Connections', 'Control Valves (Pressure, Temperature) - E-P/I-P Transducers - Elastomers', 'Control Valves (Pressure, Temperature) - Positioners - Pneumatic Connections', 'Pump Seal - Mechanical', 'Pump Base Plate and Foundation', 'SOV -O-rings', 'Control Valves (Pressure, Temperature) - Positioners - Pneumatic Relay', 'HX - Tube Sheets', 'Tank', 'Control Valves (Pressure, Temperature) - E-P/I-P Transducers - Other internal components', 'Control Valves (Pressure, Temperature) - Positioners - Adjustment Nuts and Screws', 'Tank relief valve', 'Pressure Switch - Elastomers, gaskets, and O-rings', 'Control Valves (Pressure, Temperature) - E-P/I-P Transducers - Wiring, terminals, and connections', 'Control Valves (Pressure, Temperature) - Positioners - Bushings, Bellows, Cams, Feedback Arms', 'Control Valves (Pressure, Temperature) - Valve Guides', 'SOV -Coil', 'Pump Slinger Ring', 'SOV -Diaphragms', 'Pressure Switch - Electrical switch', 'Pump Gaskets & O-Ring Leaks', 'HX - Tube Joint: Rolled', 'Control Valves (Pressure, Temperature) - Pneumatic Controller - Indicator pointer strings and pulleys']"
GEN_Cool_2,Main Generator Stator Water Cooling System - West,"['Temperature Control Valves - Packing', 'Pipe Flanges, insulated', 'Dissolved oxygen probe, if present', 'Pressure Switch - Sensing line and tube fittings', 'Pump Impeller', 'Pump Connections & Piping', 'Stator Water Instrumentation (e.g. conductivity, dissolved O2, stator water leakage, also indicators for temperature, pressure, flow and level)', 'Motor Bearings - Antifriction', 'Temperature Control Valves - Positioner - Poppet Valve Assembly', 'Temperature Control Valves - Pneumatic Controller - Control knobs', 'Manual valves', 'Temperature Control Valves - E-P/I-P Transducers - Elastomers', 'Temperature Control Valves - E-P/I-P Transducers - Wiring, terminals, and connections', 'Check Valve - Seat Failure (Body or Disk)', 'Temperature Control Valves - Positioner - Bushings, Cams, and Follower Arms', 'Temperature Control Valves - Signal Conditioners, Other internal components', 'Temperature Control Valves - Booster', 'Temperature Control Valves - Pneumatic Controller - Elastomers', 'Pipe and fittings', 'Demineralizer', 'Motor & Pump Coupling', 'Temperature Control Valves - Pneumatic Controller - Tubing, connectors, and porting', 'Pump Oil', 'Motor Stator Laminations', 'Temperature Control Valves - Positioner', 'Temperature Control Valves - External Air Filter', 'Pump Discharge and Suction Flanges', 'Temperature Control Valves - Positioner - Bushings, Bellows, Cams, Feedback Arms', 'Temperature Control Valves - Positioner - Instrument Indicating Gauges', 'HX - Tubes', 'Temperature Control Valves - Check Valves - air line', 'Pump Bearing Seals - Lip and Labyrinth', 'Motor Bearing Seals', 'Temperature Control Valves - Pneumatic Tubing', 'Check Valve - Hinge pin', 'Temperature Control Valves - Positioner - Adjustment Nuts and Screws', 'Temperature Control Valves - Positioner - Pneumatic Relay', 'Conductivity probe', 'Check Valve - Body', 'Temperature Control Valves - Pneumatic Controller', 'Check Valve - Disk', 'Motor Shaft', 'Temperature Control Valves - Coupling: Fixed Moment Arm', 'Temperature Control Valves - E-P/I-P Transducers - Orifices, nozzles, spools, relays', 'Temperature Control Valves - E-P/I-P Transducers', 'Motor Cast Rotor: Rotor bars and shorting rings', 'Motor Stator: Windings, Blocking, Bracing, Wedges', 'Pump Bearing Housing and Fittings', 'Pump Shaft', 'Temperature Control Valves - Signal Conditioners, Wiring and connections', 'Temperature Control Valves - Valve Body Seat', 'Temperature Control Valves - Valve Body Bearing/Bushing, if present', 'Motor Frame, Enclosure, and Mounting', 'Pressure Switch - Sensing device', 'Temperature Control Valves - Positioner - I/P Transducer, if present', 'Temperature Control Valves - Positioner - Wiring, connections, and terminals - if present', 'Temperature Control Valves - Valve Stem', 'Check Valve - Disk Arm', 'Pump Breather Caps & Sight Glass Vents', 'H2 Vent Totalizer', 'Temperature Control Valves - E-P/I-P Transducers - Other internal components', 'System Filter', 'Motor Leads', 'Pump Bearings - Antifriction', 'Motor Electrical Connections', 'Pump Seal - Mechanical', 'Pump Base Plate and Foundation', 'HX - Tube Sheets', 'Tank', 'Temperature Control Valves - Actuator', 'Temperature Control Valves - Signal Conditioners, e.g. Isolator, square root extractor, amplifier, converters', 'Temperature Control Valves - Positioner - Orifices, nozzles, spools, relays', 'Tank relief valve', 'Pressure Switch - Elastomers, gaskets, and O-rings', 'Temperature Control Valves - Booster Elastomer', 'Temperature Control Valves - Pneumatic Controller - Mechanical linkages', 'Temperature Control Valves - Valve Guides', 'Temperature Control Valves - Disk', 'Temperature Control Valves - Positioner - Pneumatic Connections', 'Temperature Control Valves - Pneumatic Controller - Orifices, nozzles, relays, force balance, elastomers', 'Pump Slinger Ring', 'Temperature Control Valves - Pneumatic Controller - Indicator pointer strings and pulleys', 'Pressure Switch - Electrical switch', 'Temperature Control Valves - Booster Connections', 'Pump Gaskets & O-Ring Leaks', 'HX - Tube Joint: Rolled']"
Gen_MG_Set_1_V0,Generator - MG Set with 460V Motor and Generator - Rolling Element - Grease Lubed - Air Cooled,"['Generator Rotor Laminations', 'Generator Rotor Brush Rigging, if present', 'Generator Brushless Exciter (shaft mounted) - Stator Laminations', 'Generator Probes, e.g. speed, temperature,  vibration and partial discharge, if present', 'Generator Voltage Regulator', 'Generator Rotor Amortisseur Interpole Connector', 'Motor Frame', 'Coupling Sleeve mating gasket', 'Generator Machine Fits', 'Generator Bearing Housings', 'Generator Rotor Fan Blades', 'Generator Shaft', 'Generator Stator Leads and Electrical Connections', 'Generator Frame, Enclosure, and Mounting', 'Generator Brushless Exciter (shaft mounted) - Rotor Laminations', 'Generator Baffles, if present', 'Generator Stator Winding Connections - brazed joints', 'Generator Stator Core Air Ducts', 'Generator Bearings - Rolling Element', 'Generator Brushless Exciter (shaft mounted) - Stator Leads', 'Generator Brushless Exciter (shaft mounted) - Stator Windings', 'Generator Brushless Exciter (shaft mounted) - Rotor Windings', 'Motor Rotor Mounted Fan', 'Coupling Sleeve gasket or O-ring, if present', 'Generator Lubrication Delivery Piping & Connections, if present', 'Generator Rotor Bars, Amortisseur Interpole Connector, and Shorting Rings', 'Generator Rotor Leads', 'Generator Filters, if present', 'Motor Leads and Electrical Connections', 'Motor Gasket or O-ring (e.g. connection or lead box covers)', 'Motor Lubrication - Grease', 'Generator Rotor Bars and Shorting Rings', 'Generator Space Heaters', 'Motor Shaft', 'Motor Endbells or Bearing Housings', 'Motor or Winding Heaters, if present', 'Coupling Grid', 'Generator Brushless Exciter (shaft mounted) - Diode Wheel Insulating Mounts', 'Generator Brushless Exciter (shaft mounted) - Rotor Winding Band', 'Motor Grease fittings, if present', 'Motor Probes, if present (alarm, winding and bearing temperature, or vibration)', 'Coupling Fasteners', 'Generator Brushless Exciter (shaft mounted) - Diodes and Fuses', 'Generator Rotor Collector Brushes, if present', 'Generator Stator: Windings, Blocking, Bracing, Surge rings includes wedges', 'Generator Brushless Exciter (shaft mounted) - Rotor: Windings', 'Generator Rotor: Windings, pole pieces, and V-blocks (pole wedges)', 'Motor Stator Winding Blocking, Bracing, or Wedges', 'Motor Bearings - Rolling Element', 'Generator Rotor Fans and Fan Hardware', 'Coupling Grease', 'Motor Air Filters', 'Generator Bearing Insulation', 'Motor Bearing Grease Seals (e.g. slinger, wiping, INPRO)', 'Generator Lead Box Gaskets, if present', 'Coupling Serrations or grooves', 'Motor Stator Core', 'Generator Stator Laminations', 'Motor Rotor - Poured or Cast Type (bars and shorting rings)', 'Generator Lubrication - Grease', 'Generator Bearing Seals (e.g. slinger, wiping, INPRO)', 'Generator Rotor Grounding Brushes, if present', 'Motor Air Deflectors or Baffles', 'Generator Rotor Collector Rings, if present', 'Motor Stator Windings or Coils', 'Motor Stator Winding - Surge rings and wedges (Form wound motors, only)', 'Generator Brushless Exciter (shaft mounted) - Rotor Leads']"
Gen_Salient_Pole_VERT_IndirectlyCooled_V0,Main Generator - Salient Pole - Vertical - Indirectly Cooled,"['Bearing - Thrust - Kingsbury, Tapered Land or Spring Bed Designs', 'Rotor - Pole Damper Links', 'Generator Flexible Links - rotor', 'Rotor - Pole V-Blocks, Sliders, Belly Bands, Pole Winding', 'Bearing High Pressure Lift System', 'Shaft - Guide Bearing Journal', 'Fire Protection Sensors', 'Stator - Bars and Multi-turn Windings (conventional - Thermoset insulation systems)', 'Light Fixtures, Conduit, and hardware', 'Stator - Bars and Multi-turn Windings', 'Bearing Insulation, if present', 'Rotor - Pole V-Blocks, Sliders, Belly Bands', 'Stator - Bars and Multi-turn Windings(wrapper insulation systems)', 'Stator - Bars and Multi-turn Windings (Asphalt-Mica insulation systems)', 'Instrumentation (monitors, probes, sensors) -  Bearing & Winding RTDs, Thermocouples, Vibration probes, Flux, Air Gap, Condition Monitoring, Partial Discharge, Fire protection', 'Oil Piping and Connections (bolts, clamps, fixtures, standoffs)', 'Capacitor - Oil Filled', 'Rotor - Pole Face', 'Generator Bushings - high voltage, neutral', 'Generator Bushings and Cables - high voltage, neutral', 'Rotor - Poles', 'Stator - Multi-turn Coils (Inside Slot)', 'Stator - End Winding and Connections (Bar and Multi-turn)', 'Rotor - Braking System', 'Stator - Bars and Multi-turn Windings (CRTV and RTV insulation systems)', 'Stator - Shrouds and Baffles', 'Surge Arrestors', 'Stator - Core', 'Rotor - Pole Windings', 'Generator Flexible Links - stator, main leads, neutral, rotor', 'Stator Frame', 'Stator - End Caps', 'Rotor - Spider', 'Bearing Oil Deflectors', 'Electrical Conduit, Trays, and Boxes', 'Rotor - Spider Rim to Pole and Dovetails', 'Rotor - Spider Rim', 'Rotor - Pole Winding Connections (Horseshoe), if present', 'Bearing - Guide - Sleeve or Tilt Pad', 'Shaft Grounding Brush & Rigging', 'Stator Frame Radial Sole Plates, if present', 'Rotor Collector Brushes', 'Rotor - Pole Collars', 'Rotor Collector Rings', 'Rotor - Pole Damper Ring', 'Upper and Lower Brackets', 'Current Transformer', 'Instrumentation (monitors, probes, sensors) -  Bearing & Winding RTDs, Thermocouples, Vibration Probes, Flux, Air Gap, Condition Monitoring, Partial Discharge, Fire Protection', 'Rotor - Spider (cast type)', 'Rotor - Fans', 'Water and Oil Piping and Connections', 'Stator Windings', 'Generator Foundation Grout', 'Shaft (under the spider)', 'Bearing - Thrust - Kingsbury & Tapered Land Designs', 'Bearing - Thrust - Spring Bed Designs, if present', 'Stator - Bars Inside Slots', 'Bearing Lube Oil', 'Bearing Oil Reservoir or Tub', 'Air Coolers (water cooled)', 'Couplings', 'Fire Suppression Rings', 'Generator Bushings, Cables, and Flexible Links - high voltage, neutral', 'Air Housing']"
GEN_XCTR_1,Main Generator - Exciter - GeneRex,"['Voltage Regulator', 'Collector - Brushes', 'Voltage Regulator - Potentiometers', 'Voltage Regulator - Circuit Boards', 'Excitation Transformer - Bushings', 'Shaft Grounding Brush (Braided)', 'Voltage Regulator - Fuses', 'Rectifiers - Capacitor', 'Field Discharge Resistor', 'Shaft Grounding Brush (Sohre)', 'Voltage Regulator - Potential Transformer', 'Rectifiers - Disconnect Switch', 'Shaft Grounding Brush (Carbon)', 'Rectifiers - Coolers', 'Collector - Brush Rigging and Bus Bars', 'Field Breaker - Breaker', 'Collector  - Rings', 'Excitation Transformer  - Windings', 'Voltage Regulator - Current Transformer', 'Shaft Grounding Brush']"
GEN_XCTR_2,Main Generator - Exciter - Rotating Brushed,"['Voltage Regulator', 'Collector - Brushes', 'Voltage Regulator - Potentiometers', 'Voltage Regulator - Circuit Boards', 'Alternator - Iron', 'Commutator - Brushes', 'Shaft Grounding Brush (Braided)', 'Voltage Regulator - Fuses', 'Rectifiers - Capacitor', 'Field Discharge Resistor', 'Shaft Grounding Brush (Sohre)', 'Commutator - Brush Rigging and Bus Bars', 'Collector - Rings', 'Bearings - Babbitt type', 'Coupling - grid type', 'Shaft Grounding Brush', 'Voltage Regulator - Potential Transformer', 'DC Generator - Windings', 'Rectifiers - Disconnect Switch', 'Exciter - Enclosure', 'Shaft Grounding Brush (Carbon)', 'Rectifiers - Coolers', 'Alternator - Windings', 'DC Generator - Iron', 'Collector - Brush Rigging and Bus Bars', 'Field Breaker - Breaker', 'Commutator  - Bars', 'Voltage Regulator - Current Transformer', 'Alterrex  - Rectifier Cooling (Teflon hose)', 'Coupling - disk/flexible type']"
GEN_XCTR_3,Main Generator - Exciter - Rotating Brushless,"['Voltage Regulator', 'Voltage Regulator - Potentiometers', 'Voltage Regulator - Circuit Boards', 'Alternator - Iron', 'Shaft Grounding Brush (Braided)', 'Voltage Regulator - Fuses', 'Rectifiers - Capacitor', 'Field Discharge Resistor', 'Shaft Grounding Brush (Sohre)', 'Rotating Rectifier Diodes', 'PMG - Armature Iron', 'PMG - Armature windings', 'Bearings - Babbitt type', 'Coupling - grid type', 'Voltage Regulator - Potential Transformer', 'Rectifiers - Disconnect Switch', 'Exciter - Enclosure', 'Shaft Grounding Brush (Carbon)', 'Rectifiers - Coolers', 'PMG - Field', 'Alternator - Windings', 'Field Breaker - Breaker', 'Voltage Regulator - Current Transformer', 'Shaft Grounding Brush', 'Coupling - disk/flexible type']"
